frequency,peak_power,interference_type
868.8455,-125.470893688457,Широкополосные
868.845625,-125.283976580913,Широкополосные
868.84575,-125.227742947411,Широкополосные
868.845875,-125.290351542722,Широкополосные
868.846,-125.47739244604,Широкополосные
868.846125,-125.68840383071,Широкополосные
868.84625,-125.930444281683,Широкополосные
868.846375,-126.127100481212,Широкополосные
868.8465,-126.296610874254,Широкополосные
868.846625,-126.474627479968,Широкополосные
868.84675,-126.67110033393,Широкополосные
868.846875,-126.920519079095,Широкополосные
868.847,-127.107727820219,Широкополосные
868.847125,-127.191275901327,Широкополосные
868.84725,-127.166191141425,Широкополосные
868.847375,-126.983690494266,Широкополосные
868.8475,-126.706425532372,Широкополосные
868.847625,-126.363614193652,Широкополосные
868.84775,-125.978064153059,Широкополосные
868.847875,-125.678445840124,Широкополосные
868.848,-125.51506211316,Широкополосные
868.848125,-125.549610034193,Широкополосные
868.84825,-125.767002954718,Широкополосные
868.848375,-126.083916667166,Широкополосные
868.8485,-126.36371966337,Широкополосные
868.848625,-126.552512292188,Широкополосные
868.84875,-126.639233204088,Широкополосные
868.848875,-126.735868452607,Широкополосные
868.849,-126.925367543959,Широкополосные
868.849125,-127.167556654535,Широкополосные
868.84925,-127.442920506307,Широкополосные
868.849375,-127.61851161407,Широкополосные
868.8495,-127.632188638099,Широкополосные
868.849625,-127.51155204742,Широкополосные
868.84975,-127.248087269425,Широкополосные
868.849875,-126.925474559933,Широкополосные
868.85,-126.548613700486,Широкополосные
868.850125,-126.164522448169,Широкополосные
868.85025,-125.831468561196,Широкополосные
868.850375,-125.618119067155,Широкополосные
868.8505,-125.535843764525,Широкополосные
868.850625,-125.659036651389,Широкополосные
868.85075,-125.948538859645,Широкополосные
868.850875,-126.419468282556,Широкополосные
868.851,-126.966278081548,Широкополосные
868.851125,-127.491696975602,Широкополосные
868.85125,-127.872906741328,Широкополосные
868.851375,-128.094090633683,Широкополосные
868.8515,-128.254143898089,Широкополосные
868.851625,-128.416259234615,Широкополосные
868.85175,-128.524019025951,Широкополосные
868.851875,-128.607873972469,Широкополосные
868.852,-128.568052959155,Широкополосные
868.852125,-128.366721554072,Широкополосные
868.85225,-128.07806496642,Широкополосные
868.852375,-127.768999829405,Широкополосные
868.8525,-127.48571298332,Широкополосные
868.852625,-127.241179766147,Широкополосные
868.85275,-127.054587389203,Широкополосные
868.852875,-126.896422665401,Широкополосные
868.853,-126.81841510451,Широкополосные
868.853125,-126.800098194821,Широкополосные
868.85325,-126.87784358621,Широкополосные
868.853375,-127.007674636146,Широкополосные
868.8535,-127.165373984662,Широкополосные
868.853625,-127.260296087194,Широкополосные
868.85375,-127.290102056236,Широкополосные
868.853875,-127.287842581452,Широкополосные
868.854,-127.280000935523,Широкополосные
868.854125,-127.38995302945,Широкополосные
868.85425,-127.614424157209,Широкополосные
868.854375,-127.966756797563,Широкополосные
868.8545,-128.377063904984,Широкополосные
868.854625,-128.675976371494,Широкополосные
868.85475,-128.861946715998,Широкополосные
868.854875,-128.855482917268,Широкополосные
868.855,-128.703724946267,Широкополосные
868.855125,-128.537252992839,Широкополосные
868.85525,-128.335690860742,Широкополосные
868.855375,-128.13236536473,Широкополосные
868.8555,-127.913309660354,Широкополосные
868.855625,-127.708775351605,Широкополосные
868.85575,-127.577476474921,Широкополосные
868.855875,-127.539208299052,Широкополосные
868.856,-127.615112304133,Широкополосные
868.856125,-127.770032038962,Широкополосные
868.85625,-127.952033657156,Широкополосные
868.856375,-128.084543872791,Широкополосные
868.8565,-128.073798581351,Широкополосные
868.856625,-127.952526869887,Широкополосные
868.85675,-127.669299939403,Широкополосные
868.856875,-127.299404051181,Широкополосные
868.857,-126.903556594462,Широкополосные
868.857125,-126.507357004671,Широкополосные
868.85725,-126.182766298437,Широкополосные
868.857375,-125.968345994981,Широкополосные
868.8575,-125.914248149687,Широкополосные
868.857625,-126.080321932434,Широкополосные
868.85775,-126.467172114648,Широкополосные
868.857875,-127.028774192772,Широкополосные
868.858,-127.67723286506,Широкополосные
868.858125,-128.191050937572,Широкополосные
868.85825,-128.499276262455,Широкополосные
868.858375,-128.521358145293,Широкополосные
868.8585,-128.235514128924,Широкополосные
868.858625,-127.840851568609,Широкополосные
868.85875,-127.405919803804,Широкополосные
868.858875,-127.047382277209,Широкополосные
868.859,-126.786193118603,Широкополосные
868.859125,-126.674103254468,Широкополосные
868.85925,-126.621219886103,Широкополосные
868.859375,-126.630784361074,Широкополосные
868.8595,-126.657487141257,Широкополосные
868.859625,-126.653556344494,Широкополосные
868.85975,-126.67567869046,Широкополосные
868.859875,-126.723789156034,Широкополосные
868.86,-126.827974701696,Широкополосные
868.860125,-126.973605692886,Широкополосные
868.86025,-127.15867532301,Широкополосные
868.860375,-127.329466599239,Широкополосные
868.8605,-127.517040894161,Широкополосные
868.860625,-127.685316432335,Широкополосные
868.86075,-127.843724623831,Широкополосные
868.860875,-127.947917642805,Широкополосные
868.861,-127.997378054509,Широкополосные
868.861125,-127.965251646152,Широкополосные
868.86125,-127.870634405564,Широкополосные
868.861375,-127.703518447662,Широкополосные
868.8615,-127.500517311446,Широкополосные
868.861625,-127.295987690068,Широкополосные
868.86175,-127.118972832779,Широкополосные
868.861875,-127.046453524589,Широкополосные
868.862,-127.031695184518,Широкополосные
868.862125,-127.085544411379,Широкополосные
868.86225,-127.120425180922,Широкополосные
868.862375,-127.068823003783,Широкополосные
868.8625,-126.941077127715,Широкополосные
868.862625,-126.774384268776,Широкополосные
868.86275,-126.611294862612,Широкополосные
868.862875,-126.562632593319,Широкополосные
868.863,-126.620483226976,Широкополосные
868.863125,-126.759664467759,Широкополосные
868.86325,-126.893238543788,Широкополосные
868.863375,-126.993995709642,Широкополосные
868.8635,-126.984327368513,Широкополосные
868.863625,-126.947676185921,Широкополосные
868.86375,-126.932011207507,Широкополосные
868.863875,-126.910686857179,Широкополосные
868.864,-126.953146715748,Широкополосные
868.864125,-127.006799022201,Широкополосные
868.86425,-127.034154065221,Широкополосные
868.864375,-127.044478909615,Широкополосные
868.8645,-127.050821451332,Широкополосные
868.864625,-127.099146135399,Широкополосные
868.86475,-127.232710837479,Широкополосные
868.864875,-127.400257980781,Широкополосные
868.865,-127.575291472828,Широкополосные
868.865125,-127.601874714613,Широкополосные
868.86525,-127.549671426735,Широкополосные
868.865375,-127.434621930272,Широкополосные
868.8655,-127.250129544763,Широкополосные
868.865625,-127.061309615057,Широкополосные
868.86575,-126.880809668638,Широкополосные
868.865875,-126.681083277294,Широкополосные
868.866,-126.455492002414,Широкополосные
868.866125,-126.280493510812,Широкополосные
868.86625,-126.156823470307,Широкополосные
868.866375,-126.185842535156,Широкополосные
868.8665,-126.577307638358,Широкополосные
868.866625,-126.859195373032,Широкополосные
868.86675,-127.091397901288,Широкополосные
868.866875,-127.265561231248,Широкополосные
868.867,-127.226142537469,Широкополосные
868.867125,-127.009436970153,Широкополосные
868.86725,-126.693488800429,Широкополосные
868.867375,-126.323377881762,Широкополосные
868.8675,-126.02859523535,Широкополосные
868.867625,-125.824455022241,Широкополосные
868.86775,-125.770753891173,Широкополосные
868.867875,-125.838876194412,Широкополосные
868.868,-126.077831460382,Широкополосные
868.868125,-126.401289799919,Широкополосные
868.86825,-126.832690375009,Широкополосные
868.868375,-127.275646074574,Широкополосные
868.8685,-127.665705045644,Широкополосные
868.868625,-127.885252560554,Широкополосные
868.86875,-127.952257893342,Широкополосные
868.868875,-127.830218237577,Широкополосные
868.869,-127.643641706173,Широкополосные
868.869125,-127.449339609511,Широкополосные
868.86925,-127.240034597313,Широкополосные
868.869375,-127.055236626362,Широкополосные
868.8695,-126.899041702646,Широкополосные
868.869625,-126.755455965709,Широкополосные
868.86975,-126.603220319796,Широкополосные
868.869875,-126.437054557608,Широкополосные
868.87,-126.230164788163,Широкополосные
868.870125,-126.021070777525,Широкополосные
868.87025,-125.851252277679,Широкополосные
868.870375,-125.776900731152,Широкополосные
868.8705,-125.784107287699,Широкополосные
868.870625,-125.911749224831,Широкополосные
868.87075,-126.114880427662,Широкополосные
868.870875,-126.335507274791,Широкополосные
868.871,-126.534560081779,Широкополосные
868.871125,-126.739675457846,Широкополосные
868.87125,-126.911068456717,Широкополосные
868.871375,-127.04461808343,Широкополосные
868.8715,-127.13714380688,Широкополосные
868.871625,-127.171118091324,Широкополосные
868.87175,-127.218064348229,Широкополосные
868.871875,-127.270565366768,Широкополосные
868.872,-127.359514987962,Широкополосные
868.872125,-127.428540812113,Широкополосные
868.87225,-127.474932567293,Широкополосные
868.872375,-127.458888804001,Широкополосные
868.8725,-127.391508623139,Широкополосные
868.872625,-127.31191954078,Широкополосные
868.87275,-127.217226641768,Широкополосные
868.872875,-127.151119709731,Широкополосные
868.873,-127.119913602858,Широкополосные
868.873125,-127.127016318101,Широкополосные
868.87325,-127.12949562471,Широкополосные
868.873375,-127.123970120202,Широкополосные
868.8735,-127.11610464056,Широкополосные
868.873625,-127.084567051642,Широкополосные
868.87375,-126.985494433822,Широкополосные
868.873875,-126.821570632024,Широкополосные
868.874,-126.563202619891,Широкополосные
868.874125,-126.283131172896,Широкополосные
868.87425,-126.069161041898,Широкополосные
868.874375,-125.963247824018,Широкополосные
868.8745,-126.017189469467,Широкополосные
868.874625,-126.224991013732,Широкополосные
868.87475,-126.552946354212,Широкополосные
868.874875,-126.939592728339,Широкополосные
868.875,-127.278499081585,Широкополосные
868.875125,-127.571339717769,Широкополосные
868.87525,-127.690448670057,Широкополосные
868.875375,-127.598806419794,Широкополосные
868.8755,-127.299895962946,Широкополосные
868.875625,-126.872422570328,Широкополосные
868.87575,-126.417586786725,Широкополосные
868.875875,-126.833776959546,Широкополосные
868.876,-126.731140807704,Широкополосные
868.876125,-126.69278604969,Широкополосные
868.87625,-126.711135292647,Широкополосные
868.876375,-126.646545825044,Широкополосные
868.8765,-126.517562256587,Широкополосные
868.876625,-126.333377942442,Широкополосные
868.87675,-126.082893685162,Широкополосные
868.876875,-125.889987382414,Широкополосные
868.877,-125.740545183059,Широкополосные
868.877125,-125.65698744357,Широкополосные
868.87725,-125.633235336565,Широкополосные
868.877375,-125.641752137602,Широкополосные
868.8775,-125.610351527842,Широкополосные
868.877625,-125.538151947027,Широкополосные
868.87775,-125.407078042029,Широкополосные
868.877875,-125.211933410874,Широкополосные
868.878,-125.024789461873,Широкополосные
868.878125,-124.885405019696,Широкополосные
868.87825,-124.836831913356,Широкополосные
868.878375,-124.903156774485,Широкополосные
868.8785,-125.033745192574,Широкополосные
868.878625,-125.245880876766,Широкополосные
868.87875,-125.428170324798,Широкополосные
868.878875,-125.564888252565,Широкополосные
868.879,-125.601053400841,Широкополосные
868.879125,-125.512574838123,Широкополосные
868.87925,-125.431352469973,Широкополосные
868.879375,-125.376895842302,Широкополосные
868.8795,-125.461358538016,Широкополосные
868.879625,-125.643768323048,Широкополосные
868.87975,-125.902857148548,Широкополосные
868.879875,-126.138483705519,Широкополосные
868.88,-126.328186618994,Широкополосные
868.880125,-126.460001335664,Широкополосные
868.88025,-126.554806188784,Широкополосные
868.880375,-126.631762809487,Широкополосные
868.8805,-126.704335631109,Широкополосные
868.880625,-126.782695951353,Широкополосные
868.88075,-126.834759299452,Широкополосные
868.880875,-126.904102060611,Широкополосные
868.881,-126.975635027622,Широкополосные
868.881125,-127.415508818516,Широкополосные
868.88125,-127.43411614563,Широкополосные
868.881375,-127.317348736165,Широкополосные
868.8815,-127.116803703017,Широкополосные
868.881625,-126.906348010872,Широкополосные
868.88175,-126.731842018745,Широкополосные
868.881875,-126.648884546289,Широкополосные
868.882,-126.64377439901,Широкополосные
868.882125,-126.706109161856,Широкополосные
868.88225,-126.817888302709,Широкополосные
868.882375,-126.992056948788,Широкополосные
868.8825,-127.215659977697,Широкополосные
868.882625,-127.406225264869,Широкополосные
868.88275,-127.527261614676,Широкополосные
868.882875,-127.520022965214,Широкополосные
868.883,-127.35661870468,Широкополосные
868.883125,-127.129412252446,Широкополосные
868.88325,-126.890828457331,Широкополосные
868.883375,-126.650923845969,Широкополосные
868.8835,-126.531531903089,Широкополосные
868.883625,-126.455996816302,Широкополосные
868.88375,-126.436739432359,Широкополосные
868.883875,-126.407383101238,Широкополосные
868.884,-126.349601160649,Широкополосные
868.884125,-126.267360146664,Широкополосные
868.88425,-126.159821465666,Широкополосные
868.884375,-126.050355992684,Широкополосные
868.8845,-125.943245766882,Широкополосные
868.884625,-125.899772521497,Широкополосные
868.88475,-125.925749220723,Широкополосные
868.884875,-126.118018020887,Широкополосные
868.885,-126.396035586138,Широкополосные
868.885125,-126.760594620733,Широкополосные
868.88525,-127.064823178357,Широкополосные
868.885375,-127.157638010289,Широкополосные
868.8855,-126.954018004643,Широкополосные
868.885625,-126.578422768968,Широкополосные
868.88575,-126.227977753205,Широкополосные
868.885875,-125.967186778565,Широкополосные
868.886,-125.873537184029,Широкополосные
868.886125,-125.924842754082,Широкополосные
868.88625,-126.014901058424,Широкополосные
868.886375,-126.064287716188,Широкополосные
868.8865,-125.99410268651,Широкополосные
868.886625,-125.850503783617,Широкополосные
868.88675,-125.690970320486,Широкополосные
868.886875,-125.524872436404,Широкополосные
868.887,-125.452724205602,Широкополосные
868.887125,-125.444294155333,Широкополосные
868.88725,-125.533167465041,Широкополосные
868.887375,-126.430675454143,Широкополосные
868.8875,-126.143490539925,Широкополосные
868.887625,-125.930354043924,Широкополосные
868.88775,-125.84366794136,Широкополосные
868.887875,-125.849669090105,Широкополосные
868.888,-125.95934927346,Широкополосные
868.888125,-126.057765962432,Широкополосные
868.88825,-126.168848970673,Широкополосные
868.888375,-126.235263174475,Широкополосные
868.8885,-126.250752686648,Широкополосные
868.888625,-126.270458639026,Широкополосные
868.88875,-126.274918751185,Широкополосные
868.888875,-126.317455657935,Широкополосные
868.889,-126.272408065876,Широкополосные
868.889125,-126.170825080181,Широкополосные
868.88925,-125.9814094845,Широкополосные
868.889375,-125.702626084656,Широкополосные
868.8895,-125.416307221257,Широкополосные
868.889625,-125.150833535577,Широкополосные
868.88975,-124.96351610828,Широкополосные
868.889875,-124.846863370588,Широкополосные
868.89,-124.791166607612,Широкополосные
868.890125,-124.770148316401,Широкополосные
868.89025,-124.751049260206,Широкополосные
868.890375,-124.749834095832,Широкополосные
868.8905,-124.797999233581,Широкополосные
868.890625,-124.927272580104,Широкополосные
868.89075,-125.204531582051,Широкополосные
868.890875,-125.529780508485,Широкополосные
868.891,-125.885828647293,Широкополосные
868.891125,-126.11724349808,Широкополосные
868.89125,-126.117034992839,Широкополосные
868.891375,-125.887292351777,Широкополосные
868.8915,-125.612993976507,Широкополосные
868.891625,-125.450214228072,Широкополосные
868.89175,-125.426421974135,Широкополосные
868.891875,-125.544489936075,Широкополосные
868.892,-125.743320394881,Широкополосные
868.892125,-125.894317231133,Широкополосные
868.89225,-126.017184083986,Широкополосные
868.892375,-126.093478448286,Широкополосные
868.8925,-126.20006369304,Широкополосные
868.892625,-126.41974188834,Широкополосные
868.89275,-126.666304229623,Широкополосные
868.892875,-126.972530911411,Широкополосные
868.893,-127.18019817938,Широкополосные
868.893125,-127.254490168303,Широкополосные
868.89325,-127.203241598083,Широкополосные
868.893375,-127.079546471326,Широкополосные
868.8935,-126.987579930421,Широкополосные
868.893625,-126.936247475783,Широкополосные
868.89375,-126.883737810377,Широкополосные
868.893875,-126.805688658198,Широкополосные
868.894,-126.662076967919,Широкополосные
868.894125,-126.466046623338,Широкополосные
868.89425,-126.346661329603,Широкополосные
868.894375,-126.321204740551,Широкополосные
868.8945,-126.490613551507,Широкополосные
868.894625,-126.755556504299,Широкополосные
868.89475,-127.134188094156,Широкополосные
868.894875,-127.424133323036,Широкополосные
868.895,-127.577333309548,Широкополосные
868.895125,-127.555665760006,Широкополосные
868.89525,-127.340653755519,Широкополосные
868.895375,-127.120413392004,Широкополосные
868.8955,-126.918328476052,Широкополосные
868.895625,-126.836379668239,Широкополосные
868.89575,-126.821022491572,Широкополосные
868.895875,-126.825962094368,Широкополосные
868.896,-126.874870991559,Широкополосные
868.896125,-126.919742136252,Широкополосные
868.89625,-126.907061627366,Широкополосные
868.896375,-126.933546748814,Широкополосные
868.8965,-126.922524300551,Широкополосные
868.896625,-126.925400810361,Широкополосные
868.89675,-126.923491026225,Широкополосные
868.896875,-126.883787646075,Широкополосные
868.897,-126.810530801628,Широкополосные
868.897125,-126.724799609373,Широкополосные
868.89725,-126.64319873837,Широкополосные
868.897375,-126.576337545398,Широкополосные
868.8975,-126.543542313633,Широкополосные
868.897625,-126.579473712852,Широкополосные
868.89775,-126.720788417396,Широкополосные
868.897875,-126.920679706282,Широкополосные
868.898,-127.193734749173,Широкополосные
868.898125,-127.405408801691,Широкополосные
868.89825,-127.508815736219,Широкополосные
868.898375,-127.554050266914,Широкополосные
868.8985,-127.506685748984,Широкополосные
868.898625,-127.45604656075,Широкополосные
868.89875,-127.449079469841,Широкополосные
868.898875,-127.443699801034,Широкополосные
868.899,-127.45496142153,Широкополосные
868.899125,-127.413864329771,Широкополосные
868.89925,-127.38346265765,Широкополосные
868.899375,-127.350601143379,Широкополосные
868.8995,-127.332690391689,Широкополосные
868.899625,-127.300308432908,Широкополосные
868.89975,-127.195063410684,Широкополосные
868.899875,-127.023556285851,Широкополосные
868.9,-126.796157368444,Широкополосные
868.900125,-126.59013849399,Широкополосные
868.90025,-126.384522700677,Широкополосные
868.900375,-126.254822952377,Широкополосные
868.9005,-126.143863869145,Широкополосные
868.900625,-126.04180651776,Широкополосные
868.90075,-125.959621916767,Широкополосные
868.900875,-125.863080789849,Широкополосные
868.901,-125.809564838416,Широкополосные
868.901125,-125.838429068187,Широкополосные
868.90125,-125.992684332228,Широкополосные
868.901375,-126.254712742859,Широкополосные
868.9015,-126.630811454072,Широкополосные
868.901625,-127.036111891355,Широкополосные
868.90175,-127.407537700777,Широкополосные
868.901875,-127.697957583728,Широкополосные
868.902,-127.801156665732,Широкополосные
868.902125,-127.664265987128,Широкополосные
868.90225,-127.36079615846,Широкополосные
868.902375,-126.972724070871,Широкополосные
868.9025,-126.575768219599,Широкополосные
868.902625,-126.274160071452,Широкополосные
868.90275,-126.050448210574,Широкополосные
868.902875,-125.917730569537,Широкополосные
868.903,-125.846253951947,Широкополосные
868.903125,-125.774621374895,Широкополосные
868.90325,-125.703718882023,Широкополосные
868.903375,-125.646582601554,Широкополосные
868.9035,-125.567154774921,Широкополосные
868.903625,-125.568032773926,Широкополосные
868.90375,-125.625143942377,Широкополосные
868.903875,-125.758511634581,Широкополосные
868.904,-125.915881790315,Широкополосные
868.904125,-126.112908896249,Широкополосные
868.90425,-126.302523585588,Широкополосные
868.904375,-126.488848352837,Широкополосные
868.9045,-126.623159300174,Широкополосные
868.904625,-126.675733222998,Широкополосные
868.90475,-126.644636016542,Широкополосные
868.904875,-126.546480713337,Широкополосные
868.905,-126.447552905666,Широкополосные
868.905125,-126.335986227125,Широкополосные
868.90525,-126.238354597199,Широкополосные
868.905375,-126.152350941303,Широкополосные
868.9055,-126.061860618396,Широкополосные
868.905625,-125.946732499707,Широкополосные
868.90575,-125.86209294991,Широкополосные
868.905875,-125.823105518326,Широкополосные
868.906,-125.884334096648,Широкополосные
868.906125,-126.030926328462,Широкополосные
868.90625,-126.270993422125,Широкополосные
868.906375,-126.542517021282,Широкополосные
868.9065,-126.789216743066,Широкополосные
868.906625,-126.938646751132,Широкополосные
868.90675,-126.980856220493,Широкополосные
868.906875,-126.923863546495,Широкополосные
868.907,-126.833082497602,Широкополосные
868.907125,-126.776950922423,Широкополосные
868.90725,-126.763326640479,Широкополосные
868.907375,-126.838615256399,Широкополосные
868.9075,-126.889731696854,Широкополосные
868.907625,-126.881195448111,Широкополосные
868.90775,-126.764961875489,Широкополосные
868.907875,-126.498299513087,Широкополосные
868.908,-126.18215418307,Широкополосные
868.908125,-125.913048135682,Широкополосные
868.90825,-125.756180274596,Широкополосные
868.908375,-125.770483156325,Широкополосные
868.9085,-125.881438702174,Широкополосные
868.908625,-126.056113637316,Широкополосные
868.90875,-126.208977019751,Широкополосные
868.908875,-126.280739905703,Широкополосные
868.909,-126.32387577282,Широкополосные
868.909125,-126.297799469369,Широкополосные
868.90925,-126.266846046199,Широкополосные
868.909375,-126.194419001825,Широкополосные
868.9095,-126.08335374889,Широкополосные
868.909625,-125.917379430074,Широкополосные
868.90975,-125.769394591643,Широкополосные
868.909875,-125.686157918996,Широкополосные
868.91,-125.695365221409,Широкополосные
868.910125,-125.73873968854,Широкополосные
868.91025,-125.842292582654,Широкополосные
868.910375,-125.893091771417,Широкополосные
868.9105,-125.876584515112,Широкополосные
868.910625,-125.78769437222,Широкополосные
868.91075,-125.710666252903,Широкополосные
868.910875,-125.7455736863,Широкополосные
868.911,-125.859869174732,Широкополосные
868.911125,-126.09162964659,Широкополосные
868.91125,-126.349253524892,Широкополосные
868.911375,-126.576079061858,Широкополосные
868.9115,-126.765611350413,Широкополосные
868.911625,-126.927042912796,Широкополосные
868.91175,-127.062153686051,Широкополосные
868.911875,-127.191013145122,Широкополосные
868.912,-127.246581171068,Широкополосные
868.912125,-127.236116235814,Широкополосные
868.91225,-127.165534879925,Широкополосные
868.912375,-127.048306123079,Широкополосные
868.9125,-126.951530614659,Широкополосные
868.912625,-126.892527626576,Широкополосные
868.91275,-127.209195137969,Широкополосные
868.912875,-127.266363931087,Широкополосные
868.913,-127.267165169922,Широкополосные
868.913125,-127.207638553534,Широкополосные
868.91325,-127.081030544409,Широкополосные
868.913375,-126.916336512135,Широкополосные
868.9135,-126.795925742969,Широкополосные
868.913625,-126.70537022564,Широкополосные
868.91375,-126.729517687011,Широкополосные
868.913875,-126.801554939331,Широкополосные
868.914,-126.948067278542,Широкополосные
868.914125,-127.087222552338,Широкополосные
868.91425,-127.236003729996,Широкополосные
868.914375,-127.38596612994,Широкополосные
868.9145,-127.493441806308,Широкополосные
868.914625,-127.587405654621,Широкополосные
868.91475,-127.658553563342,Широкополосные
868.914875,-127.728510379864,Широкополосные
868.915,-127.830172516203,Широкополосные
868.915125,-127.996942986228,Широкополосные
868.91525,-128.202186404551,Широкополосные
868.915375,-128.495377704124,Широкополосные
868.9155,-128.809299219789,Широкополосные
868.915625,-129.15881048266,Широкополосные
868.91575,-129.435791725552,Широкополосные
868.915875,-129.628207180993,Широкополосные
868.916,-129.694371301254,Широкополосные
868.916125,-129.603489114229,Широкополосные
868.91625,-129.487123931512,Широкополосные
868.916375,-129.35312122348,Широкополосные
868.9165,-129.331672093667,Широкополосные
868.916625,-129.397389874883,Широкополосные
868.91675,-129.54303119139,Широкополосные
868.916875,-129.7092728288,Широкополосные
868.917,-129.8091514121,Широкополосные
868.917125,-129.812572674832,Широкополосные
868.91725,-129.70159645046,Широкополосные
868.917375,-129.430459181262,Широкополосные
868.9175,-129.136405744596,Широкополосные
868.917625,-128.833905693099,Широкополосные
868.91775,-128.590844739689,Широкополосные
868.917875,-128.427309442826,Широкополосные
868.918,-128.325204457765,Широкополосные
868.918125,-128.259643306033,Широкополосные
868.91825,-128.19214667998,Широкополосные
868.918375,-128.103832509094,Широкополосные
868.9185,-128.024529332528,Широкополосные
868.918625,-127.987312788574,Широкополосные
868.91875,-127.987079828733,Широкополосные
868.918875,-128.080422478156,Широкополосные
868.919,-128.227065719904,Широкополосные
868.919125,-128.416266434489,Широкополосные
868.91925,-128.578270667437,Широкополосные
868.919375,-128.687491600103,Широкополосные
868.9195,-128.669975964155,Широкополосные
868.919625,-128.586773052538,Широкополосные
868.91975,-128.435591423266,Широкополосные
868.919875,-128.232265930975,Широкополосные
868.92,-128.023141306767,Широкополосные
868.920125,-127.845023537447,Широкополосные
868.92025,-127.76220104988,Широкополосные
868.920375,-127.743636193857,Широкополосные
868.9205,-127.819245145558,Широкополосные
868.920625,-127.923506030338,Широкополосные
868.92075,-128.030482111783,Широкополосные
868.920875,-128.0894705323,Широкополосные
868.921,-128.108630000089,Широкополосные
868.921125,-128.0756234052,Широкополосные
868.92125,-128.056603467351,Широкополосные
868.921375,-128.10889450801,Широкополосные
868.9215,-128.248985660936,Широкополосные
868.921625,-128.471382365354,Широкополосные
868.92175,-128.765600186161,Широкополосные
868.921875,-129.030983434774,Широкополосные
868.922,-129.268772715628,Широкополосные
868.922125,-129.482295187177,Широкополосные
868.92225,-129.611016087308,Широкополосные
868.922375,-129.702295260708,Широкополосные
868.9225,-129.697742890086,Широкополосные
868.922625,-129.586645239104,Широкополосные
868.92275,-129.423853638465,Широкополосные
868.922875,-129.286500246348,Широкополосные
868.923,-129.24371448567,Широкополосные
868.923125,-129.295292271812,Широкополосные
868.92325,-129.302673212905,Широкополосные
868.923375,-129.295905957128,Широкополосные
868.9235,-129.240846592383,Широкополосные
868.923625,-129.145146165451,Широкополосные
868.92375,-129.109055310392,Широкополосные
868.923875,-129.149262028127,Широкополосные
868.924,-129.218280552892,Широкополосные
868.924125,-129.271901240423,Широкополосные
868.92425,-129.224504491624,Широкополосные
868.924375,-129.08039831091,Широкополосные
868.9245,-128.925885495909,Широкополосные
868.924625,-128.793653580197,Широкополосные
868.92475,-128.76902843914,Широкополосные
868.924875,-128.787740480111,Широкополосные
868.925,-128.845488676658,Широкополосные
868.925125,-128.895766603775,Широкополосные
868.92525,-128.908095755942,Широкополосные
